Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20)
72.0,77.5,79.0,76.67,76.5,77.5,78.0,246.5515828873514,38.456298713228364,-15.477011113968121,-41.572364854183675,-61.2390081937135,-15.448219874656019,60.57418931951092,29.891210492995796,-45.27300361756521,-66.15745254734398,-73.73063171677808,-85.78401569478953,-6.851337317247239,93.89413175864334,33.0874839257201,30.486708415850913,-26.175924698093986,-28.618611038705936,-21.061296426700398,61.18366991993635
73.0,71.43,65.67,75.75,77.0,61.0,80.0,138.27970454288956,17.068011611131354,-45.73224919917418,-7.767963492020733,-55.42810998280713,-25.67273716877354,-18.73161812987802,67.00698589651616,-78.5190942909829,-76.60922300829532,5.631233842260933,0.7453954792990309,-89.80667303745057,-22.769136439377597,85.66736308057106,43.46671422265507,-81.25461357683668,-29.643939343198483,-49.88215102688176,-12.834933054307772
74.0,73.07,79.8,69.7,82.5,72.0,70.75,245.1941898952323,1.700397953910601,-52.87713431296559,-62.95092445042893,-66.25021133393088,-55.264353308459356,-115.48860606660827,16.404503960916713,-12.587445070700484,-3.331922213645754,10.37661483245307,-23.440784891473612,-29.285683105707307,64.88677804723274,-10.756645235331428,-12.828062368622392,-40.432106175699474,-59.466344413148995,-75.69596756229404,-19.858547064565517
75.0,76.57,80.33,73.75,83.0,75.75,75.0,152.9777962638127,4.837247480019357,-36.73004591249875,-48.930079158910715,-43.02098633229372,-42.71239184970037,-10.654838776468038,-24.510930667654918,-51.149599656271754,-47.58041509567753,-25.99029906850281,-90.89495776443802,-57.66421335955588,26.34044096155482,94.93034927873165,91.46347970111145,-5.440381582147541,-23.17269807034158,30.554198798075937,86.90606490909053
76.0,76.64,80.0,74.78,85.0,71.67,75.75,234.08045419239332,-28.03637564673208,-96.18538264492733,-63.18465896114323,-52.438882100354085,20.79923101702597,-48.27185808930643,48.64190620824298,-82.96727496809407,-29.819308196303336,-61.083661735114646,20.169280223598978,45.27806012313792,52.515313303847016,-5.455646509173349,-11.560534936096126,-74.58001921058488,-48.16114382311646,-62.49700770279121,0.16304074213692488
77.0,72.83,77.0,64.5,86.0,74.0,64.5,126.15525681206107,-49.506202122384195,-29.183098259766272,-0.4600612499214094,-63.03912210463928,-30.696772284818643,3.8329154783146464,38.93530431229202,-58.6655946575838,-5.979877301542846,-15.682559086647412,-26.23701857080769,-149.68145899685123,65.44015870327742,84.68593537697775,7.301797616417241,-38.55944381338545,-18.30102091496095,-26.531181966218384,29.49366851325644
78.0,77.47,83.29,73.4,86.0,73.62,76.8,273.70218183925994,-45.6909289950485,-45.99281752004633,-37.059071213728856,-66.03643342893915,8.41929592143871,-98.59282758561355,7.547876353996198,-53.92910793216967,-49.16783437601053,-39.38108675264523,-56.379282120813954,43.29376489329435,-50.094592291525785,23.96840850392964,42.97747397119579,-71.1972321174222,-16.46210720937291,-45.64888804173417,39.19154829578365
79.0,77.29,84.33,72.0,86.0,78.0,65.0,150.40613028960095,-29.518034331116915,-19.179314160630398,-40.49488942522818,-22.77768660322607,-37.269931690275705,-19.529369085499738,19.317706886015706,-81.24364681114226,38.99121210856603,-59.64015198887243,-39.47846220080875,-75.99812333887569,130.61944781786542,85.66675159931016,-14.615403672593947,-22.801054223731022,-41.48707254841416,-60.390873358572264,-20.26171294100428
80.0,74.93,79.38,69.0,86.0,70.43,70.67,239.5903878370547,-104.23507125050838,1.218723516901548,-48.599046060633334,-50.78139221452248,-66.52559926721244,-2.0327488729308136,73.61271285213002,-22.210065791688592,-47.126034637599155,-94.25703594143721,27.025011382314194,4.719900109107595,-20.64332116332504,-9.603765505141421,44.800747882352084,-62.84555950578684,-50.852268564469895,-28.09499849444854,36.78687909547955
81.0,79.75,84.25,75.25,87.0,81.0,65.0,177.3515296453936,-33.839916955475836,37.66920583081139,-72.93809110255984,-63.32097004201462,22.130348011808255,-29.737689437456257,64.3947721504905,-7.889130790805083,-50.01338028852088,18.706697017950596,-64.97589700904983,-108.4131394347108,106.66273339614715,57.950309272292735,30.332501128294894,-20.084134413132738,-17.34747283212264,-59.84890930041733,-2.9692371768675034
