Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,,
92,69.1,246.4191723,22.68602135,50.14127652,8.97336711,20.52415959,28.29683916,8.755789057,5.339814516,10.49675192,14.69783458,7.429196946,52.86462901,23.39701756,78.06406774,64.80729808,9.414051541,11.47162975,7.966081002,12.81247757,6.769162818,0.935816744,
93,73.33,201.8858458,2.109718253,27.25226831,41.16017611,20.08878848,41.23929524,18.89361344,6.216735583,24.25288485,24.81454103,26.03088757,38.72481726,20.68695678,10.46172856,92.4365418,10.67671971,34.13224244,1.534260378,12.59393257,79.83667539,0.88456462,
94,70.5,282.9471642,33.82698221,46.2921488,12.65950175,6.914811684,5.771682571,42.14861227,26.05216366,43.12913473,16.95948307,8.468546835,14.89116375,8.612900483,33.37110546,21.1139013,5.565611817,11.13842421,24.78833405,1.318016943,38.82017125,0.698867978,
95,72.92,191.8019235,19.2263182,8.708811058,27.76792004,21.62178801,10.03614314,8.2355328,34.366866,46.01247782,2.602327277,13.9740239,37.93699709,19.89450452,68.30946943,51.16151399,12.51326277,10.00776128,23.36008733,104.0840259,44.10826185,0.736094824,
96,72.05,283.7872628,43.02915743,29.67033539,15.16621709,12.07157387,21.53867454,7.005985271,16.00895088,9.201205678,4.717944911,34.83252598,12.65717029,40.5363312,22.66164389,46.59518353,8.996741948,15.30189117,20.99074798,5.45286586,12.61786536,0.604277434,
97,70.44,140.880362,33.44002919,17.30922165,49.1808859,20.25424387,22.46995082,4.290450214,14.57155956,16.00893713,38.92689849,13.84766267,4.288646837,59.40699042,50.64173498,4.1414753,84.78817656,15.45530355,4.409462426,53.03979188,45.90224819,0.810037632,
98,72.9,292.7102603,27.44412614,19.44863213,7.846312694,5.274877821,22.43259502,51.69250081,46.7805906,53.70736598,25.88402603,29.5205473,5.418429582,11.97426122,15.91208132,13.75850852,15.53772822,1.570695121,2.347415328,11.26609133,7.459388035,0.675816288,
99,70.11,140.3936977,24.88817553,12.69329642,27.42320263,34.12886236,10.75053254,3.615015524,5.145905044,51.12616893,2.806225187,47.59741905,45.95158032,2.670669697,11.31579604,73.62722075,44.3870098,29.80471559,12.74140073,82.14208205,4.579583293,0.752706983,
100,73.09,277.0591001,30.98589371,17.11224204,24.49799995,46.4916953,13.08620708,3.835627765,26.94913109,6.878770799,46.30435825,72.43575556,46.45478591,38.73736742,13.60118847,1.955533304,18.68987796,2.389613325,13.82190499,14.55548904,15.61179862,0.882371561,
101,73.33,147.3155313,1.279832684,36.43625227,43.37434127,12.39564002,31.46305508,11.52182222,6.729779829,42.86862215,27.31804314,15.04912951,115.6076072,24.75254734,6.658971256,15.93974598,37.5099625,58.18290884,1.591024703,29.05029156,19.30155178,0.979010079,
102,71.81,284.8035695,14.17447341,9.669428442,11.37027059,2.083414292,8.372278228,3.993377357,32.97541969,23.40643581,24.35866782,29.92352232,30.56081352,51.903614,16.52447595,10.62351977,7.707874192,14.5664381,28.46967295,53.77580695,36.18049164,0.5457497,
103,73,129.8799355,21.05049427,14.22356644,20.60397197,1.958902018,37.58083932,22.65769579,13.30341265,22.65269054,70.67188078,21.02537475,11.94043837,66.55439983,64.52525718,29.18103897,20.14648063,35.21265938,43.89597532,35.09302937,55.54923773,0.469871652,
104,71,273.649653,44.39508153,2.718799845,33.71549243,12.70921313,36.3652323,58.44147927,12.86335087,27.74792202,33.54231492,14.1467468,9.907150775,6.194403304,15.9582672,34.73776058,59.51053954,18.31923211,16.58706564,45.70328693,16.24519956,0.688734175,
105,74.25,125.9922161,19.05624204,48.84742168,9.306558426,14.84420533,2.394685278,4.382835865,10.56459331,18.08123376,29.21896865,61.53829345,35.59033671,14.58283424,24.07254571,20.52805047,9.334437578,56.24546648,45.04538841,111.6997145,23.68071083,0.720334302,
106,70.43,283.1813553,22.04068562,51.20923914,17.73986729,13.02355221,38.15995023,22.52016343,49.12415385,40.59149123,29.89527631,11.55483641,7.798526267,4.161330719,36.60717496,16.5084766,15.93922164,14.33403379,21.07880379,3.958379423,28.35729924,0.617050911,
