Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
73,64.21,234.6883397,42.15177434,25.10907382,2.305841015,30.69825775,43.40099842,22.37937212,14.8048182,11.94753679,12.73007711,39.86203972,65.14202326,28.0450897,40.27253721,19.22025421,29.40906019,12.18004077,25.75180821,18.89904282,25.00235896,1.274178417
74,61.73,153.555871,9.351943653,6.766100805,30.07562755,33.62048349,3.553403429,12.56609991,23.5930631,18.34815568,42.37508969,8.186873922,56.44059164,53.43305571,71.25508912,22.53498298,55.51875054,39.60219493,6.887269923,4.140063567,14.07110478,1.01951987
75,64.38,246.0342885,24.6260192,15.89211239,8.472183847,13.50822987,0.624487217,27.69757897,4.910690707,30.8623137,29.66616071,46.1246837,31.42945697,25.59179095,42.91708821,6.18447133,15.84327177,28.16980921,22.59139521,38.07554387,54.03357935,1.40773639
76,71.12,130.5375526,40.52689951,39.38324719,14.32280739,4.571910478,6.752237511,14.22591363,8.340971655,51.16441316,62.12479424,28.14167617,42.39309713,45.97574877,25.99090359,11.3644404,14.5409468,69.97577772,7.932314385,13.88696025,57.12451773,0.861578242
77,63.3,217.7135534,0.186307214,35.60747009,8.88869739,11.56643747,50.00790186,0.798100134,2.26842518,32.78335123,45.5628319,66.92473903,3.417632327,20.67196093,5.39097716,36.73372912,2.892531171,45.9154875,27.07760762,21.82658151,18.58069643,1.417303799
78,64.64,155.2528522,27.89523692,10.20840753,8.603554306,67.28794893,29.74207353,8.93923928,28.67801475,28.03193182,5.827263977,82.73508385,68.57893729,23.14777744,38.54282357,41.82292813,18.67598642,18.22794361,19.48712778,31.21128138,2.27983128,0.968319734
79,65.64,255.7015381,9.36854694,11.45645462,30.96012963,2.263903603,15.00881854,11.51733277,0.072989458,2.763230997,34.97390664,51.58593043,50.57655941,15.78216932,21.19897987,38.91120652,5.295176088,25.75300488,38.26372466,18.12674928,18.48566932,1.619066331
80,69,152.7197284,23.91642487,17.01360655,15.86159195,15.32470697,53.60301218,11.81576535,10.12807234,36.79983657,62.74577528,50.74212752,64.50051895,43.76814242,43.21446175,24.08366811,6.101109021,20.06176052,63.57347959,9.089759023,32.64818455,0.857331097
81,67.41,271.4879062,30.35628996,3.712833138,29.36765422,12.3293703,5.391735473,16.54647111,34.74420239,49.6983079,32.19128745,14.68587323,44.64256049,18.11977326,5.619306642,7.983020197,7.231566855,13.28786826,1.685871825,43.70942284,41.80735114,1.649505972
82,68.78,142.0083393,12.43445819,3.556289718,24.02862285,20.3486756,22.60060817,12.9856055,8.292253988,14.1996355,14.76442524,31.69546132,17.98463378,3.511669533,95.51990597,6.071130459,80.50306308,32.86314595,22.0607577,53.99426921,25.92397793,1.069200594
83,70.42,305.7380449,44.22324707,1.106216356,33.38841476,24.74913071,3.154046446,18.447657,16.92718427,6.320456699,27.46210255,33.06834804,8.995504944,18.63060829,18.88820909,0.426316055,23.6630762,33.32121463,17.37794053,7.851127504,16.30202384,1.928190574
84,65.4,150.03789,75.68545984,22.40365379,13.20849548,12.3250599,49.65291627,45.68749234,2.195839588,11.66639051,15.42096661,47.45783297,71.0421557,39.99651707,4.156302672,6.716463768,34.83171873,25.44429581,9.191567009,36.65867956,16.97676431,0.975032275
85,70.78,283.5010228,13.32149701,30.23000559,2.419861872,16.63130559,8.307535565,11.35298254,27.54279727,31.25144033,9.080220344,21.54793336,33.31677946,42.54532029,30.17915772,14.39256063,8.392651034,12.7972368,29.9973116,56.50080533,38.05320101,1.616899602
86,70.67,137.2403404,43.54426817,33.74156525,12.81866539,22.19602872,33.55403051,43.23144656,16.55015857,88.1385095,73.61809414,34.12061467,38.26244183,5.939671118,22.00559049,40.14622725,35.80151169,40.63736486,13.69221102,31.87422467,8.525765654,0.770784031
