Time,Average Speed,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20),Time,Average Speed,,
81,75.5,303.1011626,-31.05617532,-16.45623274,-35.92241,-1.890982561,29.51886119,-10.50198509,-12.30963032,-49.7967279,8.9664644,-23.45145055,45.62457976,-10.82476814,17.98559256,35.89603818,3.156987135,28.07158278,-3.683381888,1.615720683,34.26644273,81,75.5,25.71833487,9.208524909
82,76.36,187.5352544,24.0862937,-6.95792256,17.13004676,34.34995065,32.14321391,32.30751948,34.37339202,6.360892629,29.10495882,-7.320439211,5.618227233,1.650431941,-117.4258807,-6.646091231,25.6947602,-32.21191151,-27.38192867,-70.0347719,-42.0856791,82,76.36,39.10480829,-67.24493754
83,76.47,287.9040586,-18.78001842,-5.710119611,29.71424306,5.021913707,6.197615081,-55.0233681,4.073335264,-3.481566695,-67.05057142,-27.70506468,-20.63293778,-13.3448138,19.26418902,46.68807752,-51.40882663,-1.172876874,-8.031275149,31.30381338,-19.03673056,83,76.47,28.73378284,-149.1149827
84,77.56,160.1321822,9.129090388,37.14762028,12.67551705,13.96513412,-22.77645895,-13.04956059,-34.40659355,-2.758387524,49.26414309,-6.784441477,22.1007072,72.57192725,-8.905574561,-45.62600694,88.17181238,-61.04767377,8.208701075,27.55992671,47.71847265,84,77.56,37.50788837,193.1583548
85,75.55,284.2890724,2.249462705,21.26096442,-26.10318367,-7.472708282,-25.77890567,-2.701531283,18.83667575,3.12836805,-13.8693595,-46.04160544,-48.58628263,-68.31873934,3.337112358,6.8597384,-49.56637114,1.658518533,41.79412418,-27.0865665,-20.60327918,85,75.55,27.1810413,-237.0035682
86,75.36,190.1856434,24.23753575,-16.86039323,-35.77699643,-16.30774866,-8.449128,-8.319567907,-7.447795535,-19.947406,11.44637366,47.46492993,1.393222533,122.4533982,-28.30408046,13.5521963,56.79169643,41.96820124,15.37332066,-2.417659119,-18.12384298,86,75.36,36.53706957,172.7262564
87,76.62,307.12409,2.494576047,-34.315838,-37.69774462,-23.16621891,11.35209083,-11.62863603,-2.824139148,3.631965122,31.42063623,-3.353189294,-31.26306972,-58.76824801,11.94300771,-27.65599643,-43.7861493,-5.593725707,-25.47109761,-21.64559544,-2.009076014,87,76.62,21.81752733,-268.3364483
88,75.92,208.9977336,0.225097087,-17.89205173,-28.72706639,11.50555449,13.51382926,19.04854238,-10.78684768,-43.31398703,-10.78081654,29.44889852,-15.11713626,113.1883421,-54.5767166,-20.32642353,40.81469674,43.82825602,21.04164651,-28.35626367,6.653056282,88,75.92,36.88925341,69.39060996
89,73.77,296.4914239,23.91897272,16.08594456,41.60562862,45.32733297,42.62256615,18.7768259,-16.456178,17.08723336,29.90902161,2.368763085,7.559068088,4.379523273,2.539906746,9.801324226,-2.092306082,-15.15056045,-12.09286895,-15.4457567,4.960850421,89,73.77,18.97886335,205.7052915
90,76.17,199.5396395,6.077486825,40.32292613,59.88836278,-46.39430806,3.29796401,11.13234742,13.54262615,-78.12069546,-17.66008992,-63.54320216,-26.12716266,10.4103057,-49.54973488,40.86301222,-5.70033687,-43.22583841,-62.33284875,22.28043906,28.43602228,90,76.17,38.9955925,-156.4027246
91,76.16,257.0597505,18.7475993,22.82643447,26.38788185,-17.7627798,-29.22075603,-67.77156312,-36.79958688,-16.61665578,18.93192982,67.20139292,42.57388771,29.11666948,-5.215640318,-41.99078904,16.13336969,-24.23608536,43.01394783,-5.54097215,-8.831926407,91,76.16,33.27942358,30.94635819
92,73.7,164.2414053,60.46477546,14.45523742,30.34452022,-15.22820998,-20.99957286,30.3974318,-50.37163421,-1.219593224,78.7289858,-73.67116882,-46.36242644,-1.336178145,-18.88794561,38.32257561,27.71815837,-2.807862326,15.81252713,46.94876839,3.690911848,92,73.7,37.73840623,115.9993004
93,75,267.0828924,-22.58809,-74.29221559,-23.92674454,-20.33607708,29.91954664,26.52420567,-1.920749967,-0.405774817,-54.01379506,-49.5657058,64.90939373,9.193794635,8.294690271,22.94721301,16.89428139,9.912471339,-18.72634558,-22.68313018,-33.54558738,93,75,32.7052218,-133.4086193
94,73,112.7966154,26.30929818,-14.2079391,-2.287757982,9.562529847,10.57011572,-31.67113746,-20.2338973,-0.174779558,42.8669207,103.5262837,-17.74577559,-13.58967373,-23.34344038,27.21506775,-20.02897505,-13.1758525,36.47593823,-77.13877694,22.55866762,94,73,36.35427013,45.48681616
95,75.12,229.5537392,33.01945947,14.60372649,4.385760736,-3.974085989,-6.139288099,-5.72971424,-78.47403055,-9.668901154,-33.8530383,-107.6165468,-21.59280334,-44.76878218,17.10524694,18.60226452,-10.72628172,-6.799846477,-54.92048772,7.060752324,-0.660414406,95,75.12,34.25467792,-290.1470105
96,72.62,133.2905414,28.06035026,-6.449249519,-16.92870121,0.484735178,-36.57634579,47.77317846,63.68373446,-41.83443634,-33.50772796,58.35611086,31.41520912,-10.57562302,-46.31569774,-20.83013736,32.39632648,7.619136207,33.66401648,18.04665649,-61.71283241,96,72.62,36.27926036,46.76870265
97,76.6,291.5238201,27.59324929,-30.15364995,-45.05114746,-42.50934883,-25.30976467,-31.89409539,-2.210537632,17.35988106,43.89331039,30.72563251,-15.15088738,-71.65150595,31.25600302,-12.79096511,-15.53505085,-21.13816845,-11.67895137,-1.744256577,-18.47134326,97,76.6,29.04133416,-194.4615966
98,73.57,112.7063636,-18.24350479,-47.99312698,-18.13415828,-6.38639039,-0.631019831,1.971464963,-23.02026639,-3.275766904,-13.27505863,-62.98696736,25.47168632,27.36061535,33.62627865,-51.21187426,52.61130248,2.978848976,-35.09047349,-59.72052514,75.54101472,98,73.57,36.53636935,-120.407921
99,77.85,294.7471691,-48.95618354,-2.298827534,-28.63531845,-17.63508466,34.73290758,15.61641442,26.58697124,-4.360308161,-39.89371311,14.93832722,22.13130246,-13.7659237,-1.218712631,69.72622066,-45.24361956,-20.27514878,37.41178325,-23.17237638,23.02507177,99,77.85,30.77167122,-1.286217906
